# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.02565,0.17953,0.68348,0.00091,0.00091,0.00091,-0.00130,0.68348,0.17953,0.02424,0.00273,0.00091,0.00182
0.01513,0.10592,0.69896,0.00054,0.00054,0.00054,0.00049,0.69896,0.10592,0.01559,0.00161,0.00054,0.00108
0.01512,0.10585,0.69898,0.00050,0.00050,0.00000,0.00007,0.69898,0.10585,0.01458,0.00250,0.00050,0.00200
0.01035,0.07244,0.70330,0.00035,0.00000,0.00035,0.00101,0.70330,0.07244,0.01160,0.00105,0.00035,0.00070
0.02646,0.18521,0.68175,0.00114,0.00000,0.00000,0.00060,0.68175,0.18521,0.03341,0.00341,0.00114,0.00227
0.02334,0.16340,0.68754,0.00089,0.00000,0.00000,-0.00020,0.68754,0.16340,0.02482,0.00268,0.00089,0.00179
0.02107,0.14751,0.69119,0.00000,0.00000,0.00084,0.00051,0.69119,0.14751,0.02343,0.00253,0.00084,0.00169
0.02867,0.20070,0.67722,0.00000,0.00000,0.00123,-0.00059,0.67722,0.20070,0.03669,0.00369,0.00123,0.00246
0.03581,0.25064,0.66023,0.00122,0.00000,0.00122,-0.00286,0.66023,0.25064,0.03521,0.00367,0.00122,0.00245
0.01875,0.13127,0.69453,0.00069,0.00069,0.00000,0.00037,0.69453,0.13127,0.02070,0.00208,0.00069,0.00139
0.01861,0.13026,0.69475,0.00067,0.00067,0.00067,-0.00006,0.69475,0.13026,0.01870,0.00334,0.00067,0.00267
0.02634,0.18435,0.68198,0.00107,0.00000,0.00107,-0.00064,0.68198,0.18435,0.03346,0.00320,0.00107,0.00213
0.01429,0.10005,0.69986,0.00049,0.00000,0.00000,0.00051,0.69986,0.10005,0.01301,0.00148,0.00049,0.00099
0.02767,0.19368,0.67939,0.00101,0.00000,0.00101,-0.00152,0.67939,0.19368,0.03245,0.00203,0.00000,0.00203
0.01728,0.12099,0.69644,0.00061,0.00061,0.00000,0.00026,0.69644,0.12099,0.01904,0.00123,0.00000,0.00123
0.01765,0.12352,0.69599,0.00063,0.00063,0.00000,0.00020,0.69599,0.12352,0.01944,0.00125,0.00000,0.00125
0.01705,0.11935,0.69673,0.00061,0.00061,0.00000,-0.00194,0.69673,0.11935,0.01878,0.00121,0.00000,0.00121
0.01638,0.11464,0.69757,0.00000,0.00000,0.00049,-0.00086,0.69757,0.11464,0.01512,0.00000,0.00000,0.00000
0.01778,0.12449,0.69590,0.00064,0.00064,0.00000,0.00026,0.69590,0.12449,0.01149,0.00255,0.00000,0.00255
0.02541,0.17785,0.68404,0.00000,0.00091,0.00000,-0.00099,0.68404,0.17785,0.01642,0.00182,0.00000,0.00182
0.01409,0.09863,0.70006,0.00048,0.00048,0.00048,0.00035,0.70006,0.09863,0.01347,0.00096,0.00000,0.00096
0.01810,0.12672,0.69543,0.00062,0.00062,0.00000,-0.00015,0.69543,0.12672,0.01731,0.00124,0.00000,0.00124
0.01213,0.08489,0.70189,0.00000,0.00000,0.00037,-0.00010,0.70189,0.08489,0.01139,0.00073,0.00000,0.00073
0.01804,0.12630,0.68522,0.00067,0.00000,0.00067,0.00031,0.70537,0.12630,0.02620,0.00134,0.00000,0.00134
0.01837,0.12862,0.69508,0.00000,0.00000,0.00065,-0.00013,0.69508,0.12862,0.01689,0.00130,0.00000,0.00130
0.01872,0.13105,0.69462,0.00072,0.00000,0.00000,0.00073,0.69462,0.13105,0.01719,0.00143,0.00000,0.00143
0.01859,0.13015,0.69822,0.00068,0.00000,0.00000,0.00027,0.69144,0.13015,0.01152,0.00407,0.00000,0.00407
0.01492,0.10444,0.69917,0.00000,0.00048,0.00000,-0.00001,0.69917,0.10444,0.01692,0.00193,0.00000,0.00193
0.01466,0.10264,0.69944,0.00048,0.00048,0.00000,0.00002,0.69944,0.10264,0.01663,0.00190,0.00000,0.00190
0.01470,0.10290,0.69938,0.00045,0.00000,0.00000,-0.00038,0.69938,0.10290,0.01826,0.00000,0.00000,0.00000
0.01242,0.08696,0.70167,0.00000,0.00000,0.00037,-0.00019,0.70167,0.08696,0.00709,0.00075,0.00000,0.00075
0.02709,0.18961,0.68065,0.00097,0.00000,0.00097,-0.00149,0.68065,0.18961,0.02820,0.00000,0.00000,0.00000
0.02426,0.16984,0.68603,0.00084,0.00000,0.00084,-0.00121,0.68603,0.16984,0.02092,0.00000,0.00000,0.00000
0.01073,0.07509,0.70301,0.00033,0.00033,0.00033,0.00024,0.70301,0.07509,0.01229,0.00000,0.00000,0.00000
0.01730,0.12107,0.69642,0.00054,0.00054,0.00000,-0.00063,0.69642,0.12107,0.01982,0.00000,0.00000,0.00000
0.02086,0.14601,0.70303,0.00077,0.00000,0.00000,0.00005,0.67985,0.14601,0.02163,0.00155,0.00000,0.00155
0.00964,0.06749,0.70382,0.00029,0.00000,0.00029,0.00026,0.70382,0.06749,0.00927,0.00000,0.00000,0.00000
0.03916,0.27413,0.64966,0.00158,0.00158,0.00000,-0.00370,0.64966,0.27413,0.06338,0.00317,0.00000,0.00317
