# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.01726,0.12083,0.69642,0.00000,0.00000,0.00060,-0.00012,0.69642,0.12083,0.02131,0.00536,0.00179,0.00357
0.02120,0.14841,0.69102,0.00000,0.00079,0.00000,-0.00008,0.69102,0.14841,0.02010,0.00707,0.00236,0.00471
0.02982,0.20877,0.67482,0.00105,0.00000,0.00000,-0.00172,0.67482,0.20877,0.03416,0.00316,0.00105,0.00211
0.01866,0.13063,0.69460,0.00069,0.00000,0.00000,0.00039,0.69460,0.13063,0.02267,0.00622,0.00207,0.00415
0.02486,0.17405,0.68478,0.00095,0.00000,0.00095,-0.00078,0.68478,0.17405,0.03043,0.00285,0.00095,0.00190
0.02785,0.19493,0.67896,0.00000,0.00000,0.00110,-0.00123,0.67896,0.19493,0.03504,0.00329,0.00110,0.00219
0.01568,0.10974,0.69835,0.00000,0.00000,0.00053,-0.00006,0.69835,0.10974,0.01607,0.00315,0.00000,0.00315
0.02266,0.15864,0.68872,0.00077,0.00000,0.00077,-0.00102,0.68872,0.15864,0.02043,0.00696,0.00232,0.00464
0.02042,0.14297,0.69216,0.00076,0.00076,0.00076,-0.00015,0.69216,0.14297,0.02254,0.00378,0.00076,0.00303
0.02268,0.15875,0.68874,0.00084,0.00084,0.00000,-0.00034,0.68874,0.15875,0.01848,0.00420,0.00084,0.00336
0.01491,0.10438,0.69920,0.00050,0.00000,0.00000,0.00020,0.69920,0.10438,0.01348,0.00449,0.00150,0.00300
0.01449,0.10145,0.69965,0.00050,0.00000,0.00050,0.00035,0.69965,0.10145,0.01349,0.00150,0.00050,0.00100
0.01618,0.11325,0.69776,0.00054,0.00054,0.00000,-0.00005,0.69776,0.11325,0.01546,0.00805,0.00161,0.00644
0.02482,0.17376,0.68480,0.00102,0.00000,0.00102,-0.00005,0.68480,0.17376,0.03087,0.00920,0.00307,0.00613
0.01763,0.12339,0.69603,0.00063,0.00063,0.00063,0.00012,0.69603,0.12339,0.01683,0.00569,0.00190,0.00380
0.01703,0.11918,0.69673,0.00061,0.00061,0.00061,0.00023,0.69673,0.11918,0.01956,0.00550,0.00183,0.00367
0.01844,0.12905,0.69490,0.00000,0.00000,0.00071,0.00062,0.69490,0.12905,0.02368,0.00355,0.00071,0.00284
0.03467,0.24272,0.66316,0.00133,0.00000,0.00000,-0.00247,0.66316,0.24272,0.03634,0.00663,0.00133,0.00531
0.01934,0.13541,0.69374,0.00067,0.00000,0.00067,-0.00046,0.69374,0.13541,0.01961,0.00200,0.00067,0.00133
0.02341,0.16389,0.68753,0.00080,0.00000,0.00080,-0.00113,0.68753,0.16389,0.01791,0.00400,0.00080,0.00320
0.02565,0.17953,0.68348,0.00091,0.00091,0.00091,-0.00130,0.68348,0.17953,0.02424,0.00273,0.00091,0.00182
0.01513,0.10592,0.69896,0.00054,0.00054,0.00054,0.00049,0.69896,0.10592,0.01548,0.00161,0.00054,0.00108
0.01512,0.10585,0.69899,0.00050,0.00050,0.00000,0.00007,0.69899,0.10585,0.01348,0.00250,0.00050,0.00200
0.01035,0.07244,0.70331,0.00035,0.00000,0.00035,0.00101,0.70331,0.07244,0.01090,0.00105,0.00035,0.00070
0.02646,0.18521,0.68176,0.00114,0.00000,0.00000,0.00060,0.68176,0.18521,0.03295,0.00341,0.00114,0.00227
0.02334,0.16341,0.68756,0.00089,0.00000,0.00000,-0.00020,0.68756,0.16341,0.02393,0.00268,0.00089,0.00179
