# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
27.42857,192.00000,940.00000,0.00000,0.00000,1.00000,-0.31222,940.00000,192.00000,nan,3.00000,1.00000,2.00000
27.71429,194.00000,820.00000,1.00000,0.00000,0.00000,-0.72917,820.00000,194.00000,nan,3.00000,1.00000,2.00000
24.14286,169.00000,585.00000,0.00000,0.00000,1.00000,-0.72089,585.00000,169.00000,nan,3.00000,1.00000,2.00000
27.57143,193.00000,960.00000,0.00000,1.00000,1.00000,-0.29580,960.00000,193.00000,nan,2.00000,0.00000,2.00000
27.57143,193.00000,1070.00000,0.00000,1.00000,1.00000,0.22755,1070.00000,193.00000,nan,3.00000,1.00000,2.00000
28.14286,197.00000,940.00000,1.00000,0.00000,0.00000,-0.40453,940.00000,197.00000,nan,9.00000,3.00000,6.00000
28.00000,196.00000,980.00000,1.00000,0.00000,0.00000,-0.16295,980.00000,196.00000,nan,3.00000,1.00000,2.00000
28.57143,200.00000,955.00000,1.00000,0.00000,1.00000,-0.80586,955.00000,200.00000,nan,5.00000,1.00000,4.00000
25.71429,180.00000,906.00000,1.00000,1.00000,0.00000,0.96568,906.00000,180.00000,nan,3.00000,1.00000,2.00000
25.71429,180.00000,880.00000,1.00000,1.00000,0.00000,0.79000,880.00000,180.00000,nan,3.00000,1.00000,2.00000
27.42857,192.00000,510.00000,1.00000,0.00000,0.00000,-1.98624,510.00000,192.00000,nan,9.00000,3.00000,6.00000
25.14286,176.00000,610.00000,0.00000,0.00000,1.00000,-1.06256,610.00000,176.00000,nan,15.00000,3.00000,12.00000
32.00000,224.00000,1020.00000,1.00000,0.00000,1.00000,-1.98773,1020.00000,224.00000,nan,9.00000,3.00000,6.00000
27.00000,189.00000,1180.00000,1.00000,0.00000,1.00000,1.23061,1180.00000,189.00000,nan,3.00000,1.00000,2.00000
29.85714,209.00000,1125.00000,1.00000,0.00000,1.00000,-0.79472,1125.00000,209.00000,nan,9.00000,3.00000,6.00000
25.00000,175.00000,640.00000,0.00000,0.00000,0.00000,-0.43480,640.00000,175.00000,nan,15.00000,3.00000,12.00000
24.00000,168.00000,550.00000,1.00000,0.00000,0.00000,-0.58808,550.00000,168.00000,nan,6.00000,1.00000,5.00000
25.00000,175.00000,710.00000,0.00000,0.00000,0.00000,0.12635,710.00000,175.00000,nan,3.00000,1.00000,2.00000
30.42857,213.00000,1390.00000,1.00000,1.00000,1.00000,-0.24550,1390.00000,213.00000,nan,18.00000,3.00000,15.00000
30.42857,213.00000,960.00000,1.00000,1.00000,0.00000,-1.27759,960.00000,213.00000,nan,9.00000,3.00000,6.00000
25.57143,179.00000,900.00000,0.00000,0.00000,1.00000,0.70370,900.00000,179.00000,nan,9.00000,3.00000,6.00000
26.00000,182.00000,980.00000,0.00000,0.00000,1.00000,0.88090,980.00000,182.00000,nan,9.00000,3.00000,6.00000
30.28571,212.00000,1530.00000,1.00000,1.00000,0.00000,0.57138,1530.00000,212.00000,nan,3.00000,1.00000,2.00000
30.28571,212.00000,1490.00000,1.00000,1.00000,1.00000,0.16620,1490.00000,212.00000,nan,3.00000,1.00000,2.00000
28.14286,197.00000,790.00000,1.00000,0.00000,1.00000,-1.27045,790.00000,197.00000,nan,1.00000,1.00000,0.00000
27.71429,194.00000,1080.00000,1.00000,1.00000,0.00000,0.45681,1080.00000,194.00000,nan,6.00000,1.00000,5.00000
27.71429,194.00000,880.00000,1.00000,1.00000,0.00000,-0.46275,880.00000,194.00000,nan,2.00000,0.00000,2.00000
24.14286,169.00000,660.00000,0.00000,0.00000,0.00000,0.40926,660.00000,169.00000,nan,4.00000,1.00000,3.00000
